标题,价格,评论数,链接,当前链接,上级链接,下载时间
"Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机
				下单立减389元！成交价5499元！赠碎屏险，半年碎屏换新机！",5888.00,15万+,http://item.jd.com/5089225.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"小米Max2 全网通 4GB+64GB 金色 移动联通电信4G手机 双卡双待
				购机得小米体重秤+米粉卡（内含100元话费）6.44英寸大屏，5300毫安大电量长续航，骁龙625，轻薄全金属机身！小米Note3自拍美，拍人更美，1999元起！更多惊喜猛戳：",1699.00,12万+,http://item.jd.com/5159242.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
中兴 Blade A2S 3GB+32GB 深空灰 移动联通电信4G手机  双卡双待,699.00,1.1万+,http:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS80ODg0ODM1Lmh0bWw&log=zI-dXVf4-WtZCBG38DxzKiNUHmk0XNhMzncaqVMVb469o_NYIeownp32w5YcXjiSksHOH3s3rKYB1R3J0nE_M0KagtDt4Wv87r1aiPwfqNAGzvyxi-vwgpd4M3kX5hQkV7vpQMQv8KPfycTV0LP8sMOhtYdHfAAEt3D97pV5X1KWuQ6gGjZpxR6EKilmfN8rNMG-wi_srHM96x-2FJoi0ExGVpkuC3oqhBZ2R7HrP5IveNXCR7ZjkpWFY2ngvb7xdh9dSM9bstRrJSNIsLSSE0eZFeJV9jkl_eo26bVBTda3sYHWXjYN7-Phlo267YAhf0_D_JtHAssCW_0knGcw26AH-4FcR627amh9UuHt3-RXrxbDOM_SoAFSTxNNa2WhjjYBKZplWn6JW3FQv3DLY0E4799zJNTFJGw-zR_oC5Q&v=404,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"小米Note3 全网通 6GB+64GB 黑色 移动联通电信4G手机 双卡双待
				购机得小米圈铁耳机+米粉卡（内含100元话费）！支持暗光人脸解锁！高通8核处理器！小米Note3自拍美，拍人更美，1999元起！更多惊喜猛戳：",2299.00,12万+,http://item.jd.com/5001175.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"小米5X 全网通 4GB+64GB 黑色 移动联通电信4G手机 双卡双待
				购机得小米（MI）小米TDS检测笔+米粉卡（内含100元话费）！5.5”屏幕，轻薄金属机身！光学变焦双摄，拍人更美！小米Note3自拍美，拍人更美，1999元起！更多惊喜猛戳：",1499.00,17万+,http://item.jd.com/4554941.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"Apple iPhone 7 (A1660) 32G 黑色 移动联通电信4G手机
				科技iPhone，智享生活！更多活动请点击！",4299.00,59万+,http://item.jd.com/3133817.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"华为 HUAWEI P10 全网通 4GB+64GB 曜石黑 移动联通电信4G手机 双卡双待
				【赠移动电源+白条6期免息】麒麟960芯片！wifi双天线设计！徕卡人像摄影！华为更多优惠详情请见！",3488.00,10万+,http://item.jd.com/4483094.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀8青春版 全网通 标配版 3GB+32GB 幻海蓝
				低至1099！双面2.5D玻璃，美品潮搭，颜值小担当~荣耀爆款立省700！选品质，购荣耀>>>>>",1099.00,59万+,http://item.jd.com/5105026.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"Apple iPhone 6s Plus (A1699) 32G 金色 移动联通电信4G手机
				科技iPhone，智享生活！更多活动请点击！",3999.00,7.6万+,http://item.jd.com/3726834.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待
				【白条12期免息！购机送无线快充+配件大礼包！】好评破4万！全视曲面屏，骁龙835芯片！三星疯狂特惠，点我>>",5688.00,5万+,http://item.jd.com/4120319.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
【标准版】YOTA YOTA3 双面屏阅读手机 4+64G 全网通,3699.00,1200+,http:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS81NjM3NzA2Lmh0bWw&log=zI-dXVf4-WtZCBG38DxzKiNUHmk0XNhMzncaqVMVb45NjIQGssDXdFLFBoSGA1Pm1Cv-FtmfAQ4eEyAmtJ_hic7Oj4XS69Lp1mIiQ3VuwTTFfp8hS9UwvX2ZZm53DTWhGG_waz-C1CV-Zf_Alggal2Z37-fFqlIvOVzET7viBsOZveVYECyq7_6Uns2jk-abRknxGsduEV8F5lr9U_Om9-PZSLkxxzhWND8W-feYnoZvwnj4NwjuY5S2Be2KFeUjphtq93O9SalvXu97xoyC8F-pY-s8YTKNteKU5T47yHCVswL_pDQf6oD1a_GNqf-7aT44KAN_8nTrjUAmDEC1x9XG_knkNrEtJxWEHGVcH6KHXURVg-cwtIXgys8bhBSxA-t7L4dcW6LrpM7d3MsRgIbAAhxt3wVJ29dTS6JIF_-6cNMEFy7ZpPZ3KQqqZ8vw&v=404,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"华为 Mate 9 4GB+32GB版 月光银 移动联通电信4G手机 双卡双待
				【白条6期免息！】麒麟960芯片！4000mAh大电池！华为更多优惠详情请见！",2899.00,20万+,http://item.jd.com/3888280.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"华为 畅享6 金色 移动联通电信4G手机 双卡双待
				轻薄有型，电力十足！5英寸AMOLED屏幕，4100mAh大容量电池！华为更多优惠详情请见！",799.00,36万+,http://item.jd.com/3888216.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀 V9 全网通 尊享版 6GB+128GB 极光蓝 移动联通电信4G手机 双卡双待
				领券立减200！低至2799！纤薄机身，2K屏，双镜头，强劲芯片，你想要的快~荣耀爆款立省700！选品质，购荣耀>>>>>",2989.00,37万+,http://item.jd.com/3882455.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀 畅玩6A 2GB+16GB 金色 全网通4G手机 双卡双待
				下单立减100！领券再减100！低至599！3020mAh大电池，青春畅快玩！荣耀爆款立省700！选品质，购荣耀>>>>>",799.00,12万+,http://item.jd.com/5143886.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀 V9 play 全网通 标配版 3GB+32GB 幻夜黑 移动联通电信4G手机 双卡双待
				下单立减100！领券再减100！低至799！北欧极简设计，大内存荣耀爆款立省700！选品质，购荣耀>>>>>",999.00,18万+,http://item.jd.com/5005735.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"小米 红米Note5A 全网通版 3GB+32GB 樱花粉 移动联通电信4G手机 双卡双待
				购机得小米水质检测笔+米粉卡（内含100元话费）！1600万像素柔光自拍，5.5”高清大屏，高通骁龙处理器！小米Note3自拍美，拍人更美，1999元起！更多惊喜猛戳：",899.00,21万+,http://item.jd.com/4787579.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"小米 红米Note4X 全网通版 3GB+32GB 浅蓝色 移动联通电信4G手机
				购机得米粉卡（内含100元话费）！5.5”多彩金属机身，4100mAh长续航，骁龙8核处理器！小米Note3自拍美，拍人更美，1999元起！更多惊喜猛戳：",999.00,63万+,http://item.jd.com/5114935.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
OPPO R11s 双卡双待全面屏拍照手机 黑色 全网通(4G RAM+64G ROM)官方标配,2999.00,3400+,http:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS8xODEzMjU1NzAyOS5odG1s&log=zI-dXVf4-WtZCBG38DxzKiNUHmk0XNhMzncaqVMVb47rCk2o-lVu3GSjFvq17B0CqM7SOPwvAOxgJjUCjohCcfr0Yd1NKEAT8ao0c8vcDy7hbCLhWEbgQfxf88enq0elGtdb1iqmbuYBGNEyuIhWtxbO5WATvcrJhvrWJEL6RYkcW2ApNVdhPkRD3fOjTorjei8ctFMXycz3wcIbHAksq23hNCyfX5uYGAO6G3woRYbT9P_2pKhel_rQsQbnxv4tO4C5GKilpue9SuQOJ__2ldOyujTmiA9gGHV9a42gMp4VscFyTxHzg2WnDjKDxWiE9ptojghlv51KTrnjq2MfMfsMr5ICzUq-Of2ds1AycaV6MPf-ou2Uv6ac8t5ObiFfafYfCA9YTAirnTrG-CF8CNqWt464YTPBcBLc-Jynbjc&v=404,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀 V8 全网通 4GB+64GB铂光金 移动联通电信4G手机 双卡双待双通
				领券立减200！低至1499！双镜头，高清屏！长续航！荣耀爆款立省700！选品质，购荣耀>>>>>",1699.00,33万+,http://item.jd.com/5503074.html,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:54
"荣耀 NOTE 8 4GB+64GB 全网通4G手机 铂光金
				领券立减200！低至1799！2K大屏，长续航，4500毫安电池！荣耀爆款立省700！选品质，购荣耀>>>>>",1999.00,12万+,http://item.jd.com/3367822.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"Apple iPhone 7 Plus (A1661) 32G 玫瑰金色 移动联通电信4G手机
				科技iPhone，智享生活！更多活动请点击！",5199.00,5.5万+,http://item.jd.com/3133843.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"OPPO A57 3GB+32GB内存版 玫瑰金色 全网通4G手机 双卡双待
				下单送高质量收纳包！OPPO全面屏旗舰R11s新品发售，AI美颜，王者荣耀专业优化，面部识别！",1399.00,8.9万+,http://item.jd.com/4143422.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"荣耀8 4GB+64GB 全网通4G手机 樱语粉
				领券立减200！低至1499！双镜头，双2.5D玻璃，双功能指纹！荣耀爆款立省700！选品质，购荣耀>>>>>",1699.00,66万+,http://item.jd.com/3717578.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"360手机 N5S 全网通 6GB+64GB 幻影黑 移动联通电信4G手机 双卡双待
				双2.5D弧面玻璃/前置双摄/6GB大内存+骁龙653/豪华游戏大礼包!手快有，手慢无！",1599.00,10万+,http://item.jd.com/5097448.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"乐视（LeEco）S3爵迹版 4GB+32GB 原力金 移动联通电信4G手机 双卡双待
				内含乐次元影视会员！5.5英寸屏，4+32G内存，十核处理器，800+2100万像素",849.00,3.7万+,http://item.jd.com/4633402.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
迪美（DIM） 迪美 DIM V8 全网通4G智能手机  双卡双待 玫瑰金（1+16G）,489.00,600+,http:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS8xMzk0MTc5ODExMC5odG1s&log=-pk1ISCSs5cF1aRLFoa-h4X8DPuBt5lL1jj2FIxWtyVbXPivKJhPhdp9fZX1712Vk9TiAbCcD16P0UtvtWoIEVGYpoG93GDvro-6W83fCpR0PBtNYybXn63JJSjlTDlSjrP1dcMNZQmGR6uiJlERAfSJw0NoGIrhwH7_obNUUaUl4A3WhpDq_zMXv8fy81vOoK2OnzSeSRV6l67ncBO26ikw_k2P_69iVg4fpBKTvY6Ey6WWs-NzD1imfv96VzbdpQ8CIopxn46GrP6--Ym6gRFIv3fZ9nl9vIl6ie9-R6gkGFDLR4741NnEWYYa1ownWBx9rD4DDOz1_vJRb1e5c9TfFHE1diQfGuP_85JJb3xPFOl7mJ78Wr3QCdwtIh3i7Q_CM88GsAid4AdRGuWlA-AMi8y59S6c9yfpmfjgzZU&v=404,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"小米6 全网通 4GB+64GB 亮蓝色 移动联通电信4G手机 双卡双待
				购机得米粉卡（内含100元话费）！小米6变焦双摄，拍人更美！5.15”屏幕，四曲面机身，骁龙835处理器！小米Note3自拍美，拍人更美，2299元起！更多惊喜猛戳：",2299.00,20万+,http://item.jd.com/5159264.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"OPPO R11s 全面屏双摄拍照手机 全网通4G+64G 双卡双待手机 香槟色
				下单送运动蓝牙耳机！OPPO新品上市！AI美颜、智选双摄、王者荣耀专业优化畅快5杀、面部识别、后置指纹！",2999.00,2.5万+,http://item.jd.com/5638334.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"360手机 vizza 全网通 4GB+32GB 阳光金 移动联通电信4G手机 双卡双待
				4GB+32GB/5.5”全高清大屏/高通骁龙8核处理器/4020毫安大电池/金属机身手快有 手慢无",899.00,3.2万+,http://item.jd.com/5398428.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"努比亚nubia Z17 无边框 曜石黑 6GB+64GB 全网通 移动联通电信4G手机 双卡双待
				旗舰无边框、2300+1200变焦双摄，骁龙835处理器，6GB大内存！火热抢购中，2499狂欢价等你来嗨！",2499.00,4.5万+,http://item.jd.com/4220709.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"vivo X9s 全网通 4GB+64GB 玫瑰金 移动联通电信4G手机 双卡双待
				前置2000万柔光双摄，照亮你的美！Hi-Fi音质，让世界更动听！更多精彩点击>>>",2498.00,2.4万+,http://item.jd.com/5291744.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
"华为 HUAWEI P10 Plus 6GB+64GB 曜石黑 移动联通电信4G手机 双卡双待
				【赠移动电源+白条6期免息】麒麟960芯片！wifi双天线设计！徕卡人像摄影！华为更多优惠详情请见！",3988.00,6.2万+,http://item.jd.com/4483072.html,http://search.jd.com/s_new.php?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=手机&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:35:55
