标题,价格,评论数,链接,当前链接,上级链接,下载时间
"容声 (Ronshen) BCD-172D11D  172升 双门冰箱 门封保护 自感应温度补偿
							【智享容声 品牌日】现咨询客服下单送半年延保！小户型百搭款，温度自感应，卧室级静音，门封抗菌防霉，自感应温度补偿！【变频鲜潮 钜惠好礼】",1098.00,5.4万+,http://item.jd.com/3444549.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"西门子(SIEMENS) BCD-232(KG23N111EW) 232升 三门冰箱 组合冷冻（白色）
							【狂欢京喜趴】下单立减300元！“京”喜低价！组合冷冻，保留实物鲜活！三门重磅推荐！无氟制冷剂！强效节能！德系品质，欧式美学！进入西门子专场",2498.00,8300+,http://item.jd.com/4071570.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"TCL BCD-456KZ50 456升 冷藏自动除霜 电脑温控 十字对开门冰箱(流光金)
							【巅峰钜惠】下单赠价值299元压缩机十年包修！赠完即止！库存有限，立即下单！冷藏自动除霜，电脑温控！点击进入大促专场",2499.00,1.3万+,http://item.jd.com/2526679.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
美的（Midea） 无霜冰箱 三门 风冷无霜 宽幅变温 BCD-230WTM（E）阳光米,2099.00,1500+,http:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS8xMDE1NTMxNjg0OC5odG1s&log=LHj6rcelyz0YU3MWP8SYoEJXQkk3aclCJQ_PiqD0fp2W7oFWjD8zFbp5jHuNMEqB_sDmF0tb81CerL_Ex0i9kWTD83k1ixz7eeBigxWLL-FqwpSbcjdrXuOZtL8LSZuR_Z-oVtSmaG839CzF5R9S-rt92dQyHqJITTXYm_LMWWCceqUH0J3426BAPPiVSU2WvBE1wmop-oPxlPfQJkRqxpzraYM77gXFsBbXa-yh-ntX2GG9PDOt_aJgb9E6Kry5YYGRhJbNS36jYmoY5mhft7LAiN43rO06nyIZZLVkRgHg7MO6XEehIg_EEgkzD7RB4iphDAZT9si4kOf6OGOSKZoUKixQ9eTT-zXlNZyd2q2SS_9HhNd8lSEvUdnd56YgnETUfDbUw_XDsN2DbDu2sywIAZ5xeIKd_8GAuaNtfNY&v=404,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"容声 (Ronshen) BCD-320WD11MY 320升 多门冰箱 风冷无霜电冰箱 电脑控温 实用变温抽屉 家用节能(卡其银)
							【智享容声 品牌日】现咨询客服下单送半年延保！小厨房大冰箱，生态抑菌免除霜，保鲜静音更健康！【变频鲜潮 钜惠好礼】
						
							容声（ronshen）320WD11MY+D1218BW 320升无霜多门冰箱 小厨房大空间 8公斤变频滚筒洗衣机 冰洗套装组合",2899.00,7600+9435,http://item.jd.com/3681785.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"康佳（KONKA）BCD-192MT 192升 三门冰箱 软冷冻室（银色）
							【康佳冰洗盛惠】仅999元，经济实用，快速制冷，锁住冷气，净味保鲜，营养不流失，中层设有软冷冻，七档控温！进入大促专场",999.00,7.4万+,http://item.jd.com/818271.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"海尔（Haier）BCD-407WDECU1 407升变频风冷无霜智能多门冰箱 T.ABT杀菌三档变温多温区保鲜不串味珠光玻璃面板
							晒单后咨询海尔客服送3年延保！珠光玻璃面板6度装裱闪耀璀璨，优质双变频静音又节能，三档变温保鲜，24小时实时动态杀菌！更多海尔冰箱推荐",4299.00,1700+,http://item.jd.com/4968149.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"西门子（SIEMENS） BCD-274W(KG28UA290C) 274升 混冷无霜 三门冰箱 零度保鲜 LED内显（银色）
							【狂欢京喜趴】下单立减300元！赠价值299元压缩机十年包修！混冷无霜，西门子零度保鲜技术！独立式三循环！德系品质，欧式美学！进入西门子专场",,4900+,http://item.jd.com/3170560.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"海信（Hisense）BCD-459WTDVBPI/Q 459升 十字对开门冰箱 变频风冷无霜 智能WIFI控制 电脑控温一级能效
							【火爆预约】22日成交价仅3799！晒单扫码送苏泊尔锅具套装+180天延保！矢量变频！风冷免除霜！智能WIFI！分区制冷防串味！点击更多优惠",,3800+,http://item.jd.com/3749432.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"博世（BOSCH） BCD-610W(KAN92V02TI) 610升 变频风冷无霜 对开门冰箱 LED显示 速冷速冻（白色）
							【博世满减狂欢】下单可减500！并联双循环技术，保湿鲜生代，锁住食物鲜活！买博世，上京东！【大促会场】",5990.00,9200+,http://item.jd.com/1280134.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"海尔（Haier）BCD-189WDPV 189升风冷无霜两门冰箱 制冷速度快 制冷均匀净味保鲜白色水玉汐
							家用风冷无霜小冰箱 二人世界保鲜伴侣 时尚外观 电子控温 不用除霜就是好！更多海尔冰箱推荐",1599.00,1.3万+,http://item.jd.com/3454808.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"海尔（Haier）BCD-479WDEY 479升 风冷无霜十字对开门冰箱 变频节能 干湿分储（彩晶玻璃面板 纤薄机身 ABT除菌）
							晒单后咨询海尔客服送3年延保！进口恩布拉科压缩机,好冰箱就要全空间保鲜！更多海尔冰箱推荐",6699.00,2400+,http://item.jd.com/4010719.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"海尔（Haier）BCD-320WDPG 320升变频风冷无霜两门冰箱 干湿分储 大冷冻空间 凯岩灰
							米兰时尚灰面板,耐脏耐指纹,好冰箱就要全空间保鲜！变频全空间保鲜,大冷动力营养不流失。海尔出品,国货精品更多海尔冰箱推荐",3299.00,3400+,http://item.jd.com/4010239.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"美菱(MeiLing)BCD-608WPCX 608升 变频保鲜 风冷无霜 节能静音 时尚对开门冰箱(金)
							【品质狂欢 惠选美菱】608升爆款对开,恒温变频保鲜科技,减少温度波动,紧锁营养,风冷无霜新净界！购买既享压缩机十年免费包换 !【进入品质专场】",3499.00,5600+,http://item.jd.com/3759992.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"海尔（Haier）BCD-440WDPG 440升变频风冷无霜法式多门冰箱 干湿分储 三档变温双直开抽屉全空间保鲜 凯岩灰
							晒单后咨询海尔客服送价值1288元WMF双耳炖锅，再送3年延保！进口恩布拉科压缩机,好冰箱就要全空间保鲜！更多海尔冰箱推荐",5599.00,2700+,http://item.jd.com/4717270.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"西门子（SIEMENS） BCD-321W(KG32NV21EC) 321升 风冷无霜 双门冰箱 电脑温控 LED内显（白色）
							【狂欢京喜趴】下单立减300元！“京”喜低价！西门子C型风冷，多维出风系统！，电脑温控 ，LED内显，人性化设计更节能！德系品质！进入西门子专场",3698.00,4500+,http://item.jd.com/2929717.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"海尔（Haier）BCD-575WDGOU1 575升变频风冷无霜对开门冰箱 双变频高保湿抽屉双重杀菌系统新国标一级 米黄色
							晒单后咨询海尔客服送3年延保！时尚彩晶玻璃面板,双变频设计节能静音,细致格局,层层分区,给予食物更好的保护,ABT功能净味更杀菌。更多海尔冰箱推荐",5699.00,3200+,http://item.jd.com/3329277.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"松下（Panasonic）NR-C320WP-S 318升 典雅银 三门风冷无霜冰箱 自由变温室
							【惊喜钜惠】本商品参加每满1000立减100！松下新品三门冰箱，变频压缩机，高效节能！风冷无霜技术，自由变温室，开启智感生活！更多商品",3990.00,1700+,http://item.jd.com/4577159.html,http://search.jd.com/s_new.php?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=31&scrolling=y&pos=30&page=2,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:52
"西门子（SIEMENS） BCD-610W(KA92NV02TI) 610升 变频风冷无霜 对开门冰箱 LED显示 速冷速冻（白色）
							【狂欢京喜趴】下单赠价值299元压缩机十年包修！万条好评，变频静音，风冷无霜，独立双循环，不串味！",6398.00,4万+,http://item.jd.com/1293744.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
TCL BCD-499WEF1 499升 风冷无霜 均匀制冷 电脑温控对开门冰箱(流光金),2599.00,3300+,http:https://ccc-x.jd.com/dsp/nc?ext=aHR0cHM6Ly9pdGVtLmpkLmNvbS80NjI5ODE0Lmh0bWw&log=ipqll3A0C5lxCpGxFDw2kRPKe7-WNhlVaOWGjxDoFKNxrcUDfDZrwMig0AQDhTcg45sqKOBequhY824a9Dp6Fc62-Z5GaTkp0Afq9Xl1sELC-5Ai4qKaoFOSTw0E3bvqfyexQ6su0-OKj7P-4zyoVEmiBAb7NZY0RfhmVCJD0TIYB0DlD2CizvjYJ1ROxxy6CcGg7g9ukQaTUoD7ie4_KKDjrD_Z8-81dfUmOVOzBIyI_CQOAzdZF1K9L0jgKIYOMJ0MaxMhO0pdugTWx6WeAc2lOlnKZ2VKM_NkcME9-annGGue0T0vnYbGtV6ysedIJLShoIhYHEOtiSLMc3Clup51BH6W0xB2ZjxpNXl6lRgs4HvRJMTmpeunlhXpVR3cXk-EDhQcBDXN_Qfn0oJAPAqjULapYcUcAG8MKY0rFsVnMvOCxsBxtsOUKPDdPgVX&v=404,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"海尔（Haier）BCD-258WDPM 258升 风冷无霜三门冰箱 除菌 3D立体环绕风不风干 中门5℃~-18℃变温室
							风冷无霜 均匀制冷 T·ABT杀菌技术 快速冷冻 营养不流失 让食材更新鲜更多海尔冰箱推荐",2299.00,6.8万+,http://item.jd.com/1560207.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"海尔（Haier）BCD-458WDVMU1 458升变频风冷无霜多门冰箱 干湿分储五区保鲜  （手机APP控制）香槟金
							晒单后咨询海尔客服送3年延保！好冰箱就要全空间保鲜！双变频设计 时尚香槟金外观 WIFI智能控制更多海尔冰箱推荐",4499.00,2.3万+,http://item.jd.com/2874548.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"容声 (Ronshen) BCD-636WD11HPA 636升 对开门冰箱 矢量变频 省电节能 云智能WIFI 电脑控温 风冷无霜大容积
							【智享容声 品牌日】畅销智能对开！下单立减600元，到手价仅4199元！一级能效，日耗电仅0.99度！矢量双变频+容E云智能黑科技！【变频鲜潮 钜惠好礼】",4799.00,1.9万+,http://item.jd.com/3801116.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"容声(Ronshen) 456升 十字对开门多门冰箱 双变频 一级能效 负离子杀菌 独立变温 钛空金 BCD-456WD11FP
							【智享容声 品牌日】22号容声狂欢盛典，惊喜价0点开抢到手仅3999元！咨询客服下单送半年延保！矢量双变频+负离子杀菌黑科技！【变频鲜潮 钜惠好礼】",,1.1万+,http://item.jd.com/3934375.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"容声(Ronshen) 529升 对开门冰箱 矢量双变频 纤薄机身 风冷无霜 节能静音 沐光金 BCD-529WD11HP
							【智享容声 品牌日】变频风冷对开！下单立减300元，到手价仅3299元！双变频节能静音，阳光级保鲜！55cm纤薄机身，橱装一体！【变频鲜潮 钜惠好礼】",3599.00,1.8万+,http://item.jd.com/3459483.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"美的(Midea)BCD-655WKPZM(E) 655升 变频风冷智能对开门冰箱 一级能效 中央智控 米兰金 (手机APP远程操控)
							【享鲜生活】下单立减300元！再送299元压缩机10年包修！一级能效，日耗电仅0.98度！时尚彩钢面板！WiFi智能！进入品牌抢购专场",3999.00,1.9万+,http://item.jd.com/2788652.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"海尔（Haier）BCD-571WDEMU1 571升变频风冷无霜对开门冰箱 人工智慧 智能WiFi（APP手机控制）藕纱白
							变频节能 隐藏把手 智能APP控制 时刻掌握食品新鲜程度更多海尔冰箱推荐",3699.00,1.8万+,http://item.jd.com/2784998.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"海尔（Haier）BCD-452WDPF 452升 风冷无霜对开门 纤薄设计 节能静音 电脑双温双控
							纤薄机身 90°开门设计 节省更多空间 隐藏式门把手 节能静音 风冷无霜 食材保湿更新鲜更多海尔冰箱推荐",2999.00,4.9万+,http://item.jd.com/1591280.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
"海尔（Haier）BCD-201STPA 201升 三门冰箱 中门软冷冻
							新鲜营养及时切 三大温区 保湿养鲜 独立新鲜不串味更多海尔冰箱推荐",1399.00,6.7万+,http://item.jd.com/1591273.html,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,http://search.jd.com/Search?keyword=冰箱&enc=utf-8&qrst=1&rt=1&stop=1&vt=2&bs=1&s=1&click=0&page=1,2017-11-21 10:37:53
